,Layer (type),Output Shape,Param #,Connected to
0,the_input_layer (InputLayer),"(160, 160, 16, 1)",0,['']
1,conv3d (Conv3D),"(160, 160, 16, 32)",896,"[""'the_input_layer'""]"
2,activation (Activation),"(160, 160, 16, 32)",0,"[""'conv3d'""]"
3,conv3d_1 (Conv3D),"(160, 160, 16, 32)",27680,"[""'activation'""]"
4,activation_1 (Activation),"(160, 160, 16, 32)",0,"[""'conv3d_1'""]"
5,max_pooling3d (MaxPooling3D),"(80, 80, 8, 32)",0,"[""'activation_1'""]"
6,conv3d_2 (Conv3D),"(80, 80, 8, 64)",55360,"[""'max_pooling3d'""]"
7,activation_2 (Activation),"(80, 80, 8, 64)",0,"[""'conv3d_2'""]"
8,conv3d_3 (Conv3D),"(80, 80, 8, 64)",110656,"[""'activation_2'""]"
9,activation_3 (Activation),"(80, 80, 8, 64)",0,"[""'conv3d_3'""]"
10,max_pooling3d_1 (MaxPooling3D),"(40, 40, 4, 64)",0,"[""'activation_3'""]"
11,conv3d_4 (Conv3D),"(40, 40, 4, 128)",221312,"[""'max_pooling3d_1'""]"
12,activation_4 (Activation),"(40, 40, 4, 128)",0,"[""'conv3d_4'""]"
13,conv3d_5 (Conv3D),"(40, 40, 4, 128)",442496,"[""'activation_4'""]"
14,activation_5 (Activation),"(40, 40, 4, 128)",0,"[""'conv3d_5'""]"
15,max_pooling3d_2 (MaxPooling3D),"(20, 20, 2, 128)",0,"[""'activation_5'""]"
16,conv3d_6 (Conv3D),"(20, 20, 2, 256)",884992,"[""'max_pooling3d_2'""]"
17,activation_6 (Activation),"(20, 20, 2, 256)",0,"[""'conv3d_6'""]"
18,conv3d_7 (Conv3D),"(20, 20, 2, 256)",1769728,"[""'activation_6'""]"
19,activation_7 (Activation),"(20, 20, 2, 256)",0,"[""'conv3d_7'""]"
20,up_sampling3d (UpSampling3D),"(40, 40, 4, 256)",0,"[""'activation_7'""]"
21,conv3d_8 (Conv3D),"(40, 40, 4, 128)",262272,"[""'up_sampling3d'""]"
22,concatenate (Concatenate),"(40, 40, 4, 256)",0,"[""'activation_5',""]"
23,conv3d_9 (Conv3D),"(40, 40, 4, 128)",884864,"[""'concatenate'""]"
24,activation_8 (Activation),"(40, 40, 4, 128)",0,"[""'conv3d_9'""]"
25,conv3d_10 (Conv3D),"(40, 40, 4, 128)",442496,"[""'activation_8'""]"
26,activation_9 (Activation),"(40, 40, 4, 128)",0,"[""'conv3d_10'""]"
27,up_sampling3d_1 (UpSampling3D),"(80, 80, 8, 128)",0,"[""'activation_9'""]"
28,conv3d_11 (Conv3D),"(80, 80, 8, 64)",65600,"[""'up_sampling3d_1'""]"
29,concatenate_1 (Concatenate),"(80, 80, 8, 128)",0,"[""'activation_3',""]"
30,conv3d_12 (Conv3D),"(80, 80, 8, 64)",221248,"[""'concatenate_1'""]"
31,activation_10 (Activation),"(80, 80, 8, 64)",0,"[""'conv3d_12'""]"
32,conv3d_13 (Conv3D),"(80, 80, 8, 64)",110656,"[""'activation_10'""]"
33,activation_11 (Activation),"(80, 80, 8, 64)",0,"[""'conv3d_13'""]"
34,up_sampling3d_2 (UpSampling3D),"(160, 160, 16, 64)",0,"[""'activation_11'""]"
35,conv3d_14 (Conv3D),"(160, 160, 16, 32)",16416,"[""'up_sampling3d_2'""]"
36,concatenate_2 (Concatenate),"(160, 160, 16, 64)",0,"[""'activation_1',""]"
37,conv3d_15 (Conv3D),"(160, 160, 16, 32)",55328,"[""'concatenate_2'""]"
38,activation_12 (Activation),"(160, 160, 16, 32)",0,"[""'conv3d_15'""]"
39,conv3d_16 (Conv3D),"(160, 160, 16, 32)",27680,"[""'activation_12'""]"
40,activation_13 (Activation),"(160, 160, 16, 32)",0,"[""'conv3d_16'""]"
41,conv3d_17 (Conv3D),"(160, 160, 16, 6)",198,"[""'activation_13'""]"
42,activation_14 (Activation),"(160, 160, 16, 6)",0,"[""'conv3d_17'""]"
43,"['Total params: 5,599,878']",(),0,['']
44,"['Trainable params: 5,599,878']",(),0,['']
45,['Non-trainable params: 0'],(),0,['']
